symbol,total_trades,wins,losses,win_rate,avg_win,avg_loss,total_return_percent,trades
RELIANCE,1,1.0,0.0,100.0,6.168824063497238,0.0,6.168824063497238,"[{'symbol': 'RELIANCE', 'entry_date': Timestamp('2025-10-17 00:00:00+0530', tz='Asia/Kolkata'), 'exit_date': Timestamp('2025-10-29 00:00:00+0530', tz='Asia/Kolkata'), 'entry_price': np.float64(1416.800048828125), 'exit_price': np.float64(1504.199951171875), 'pnl_percent': np.float64(6.168824063497238), 'status': 'WIN', 'exit_reason': 'PROFIT_TARGET'}]"
INFY,2,1.0,1.0,50.0,5.078536043526061,-5.027526400013518,0.051009643512542446,"[{'symbol': 'INFY', 'entry_date': Timestamp('2025-09-12 00:00:00+0530', tz='Asia/Kolkata'), 'exit_date': Timestamp('2025-09-26 00:00:00+0530', tz='Asia/Kolkata'), 'entry_price': np.float64(1502.596923828125), 'exit_price': np.float64(1427.053466796875), 'pnl_percent': np.float64(-5.027526400013518), 'status': 'LOSS', 'exit_reason': 'SIGNAL_EXIT'}, {'symbol': 'INFY', 'entry_date': Timestamp('2025-10-24 00:00:00+0530', tz='Asia/Kolkata'), 'exit_date': Timestamp('2025-12-03 00:00:00+0530', tz='Asia/Kolkata'), 'entry_price': np.float64(1502.4000244140625), 'exit_price': np.float64(1578.699951171875), 'pnl_percent': np.float64(5.078536043526061), 'status': 'WIN', 'exit_reason': 'PROFIT_TARGET'}]"
TCS,1,0.0,1.0,0.0,0.0,-7.013299468186289,-7.013299468186289,"[{'symbol': 'TCS', 'entry_date': Timestamp('2026-02-03 00:00:00+0530', tz='Asia/Kolkata'), 'exit_date': Timestamp('2026-02-04 00:00:00+0530', tz='Asia/Kolkata'), 'entry_price': np.float64(3225.300048828125), 'exit_price': np.float64(2999.10009765625), 'pnl_percent': np.float64(-7.013299468186289), 'status': 'LOSS', 'exit_reason': 'SIGNAL_EXIT'}]"
HDFC,0,,,,,,,
ICICIBANK,5,0.0,5.0,0.0,0.0,-3.2618563665318474,-16.309281832659238,"[{'symbol': 'ICICIBANK', 'entry_date': Timestamp('2025-06-27 00:00:00+0530', tz='Asia/Kolkata'), 'exit_date': Timestamp('2025-07-03 00:00:00+0530', tz='Asia/Kolkata'), 'entry_price': np.float64(1451.00390625), 'exit_price': np.float64(1414.98193359375), 'pnl_percent': np.float64(-2.482555181353427), 'status': 'LOSS', 'exit_reason': 'SIGNAL_EXIT'}, {'symbol': 'ICICIBANK', 'entry_date': Timestamp('2025-07-21 00:00:00+0530', tz='Asia/Kolkata'), 'exit_date': Timestamp('2025-08-12 00:00:00+0530', tz='Asia/Kolkata'), 'entry_price': np.float64(1454.576416015625), 'exit_price': np.float64(1422.0), 'pnl_percent': np.float64(-2.239580929330499), 'status': 'LOSS', 'exit_reason': 'SIGNAL_EXIT'}, {'symbol': 'ICICIBANK', 'entry_date': Timestamp('2025-10-17 00:00:00+0530', tz='Asia/Kolkata'), 'exit_date': Timestamp('2025-10-21 00:00:00+0530', tz='Asia/Kolkata'), 'entry_price': np.float64(1436.5999755859375), 'exit_price': np.float64(1382.0), 'pnl_percent': np.float64(-3.800638766102452), 'status': 'LOSS', 'exit_reason': 'SIGNAL_EXIT'}, {'symbol': 'ICICIBANK', 'entry_date': Timestamp('2025-11-27 00:00:00+0530', tz='Asia/Kolkata'), 'exit_date': Timestamp('2025-12-12 00:00:00+0530', tz='Asia/Kolkata'), 'entry_price': np.float64(1392.199951171875), 'exit_price': np.float64(1366.0), 'pnl_percent': np.float64(-1.8819100769125416), 'status': 'LOSS', 'exit_reason': 'SIGNAL_EXIT'}, {'symbol': 'ICICIBANK', 'entry_date': Timestamp('2026-01-07 00:00:00+0530', tz='Asia/Kolkata'), 'exit_date': Timestamp('2026-01-23 00:00:00+0530', tz='Asia/Kolkata'), 'entry_price': np.float64(1427.699951171875), 'exit_price': np.float64(1343.4000244140625), 'pnl_percent': np.float64(-5.904596878960317), 'status': 'LOSS', 'exit_reason': 'SIGNAL_EXIT'}]"
WIPRO,1,0.0,1.0,0.0,0.0,-5.086481646474429,-5.086481646474429,"[{'symbol': 'WIPRO', 'entry_date': Timestamp('2025-10-16 00:00:00+0530', tz='Asia/Kolkata'), 'exit_date': Timestamp('2025-10-17 00:00:00+0530', tz='Asia/Kolkata'), 'entry_price': np.float64(247.4221649169922), 'exit_price': np.float64(234.8370819091797), 'pnl_percent': np.float64(-5.086481646474429), 'status': 'LOSS', 'exit_reason': 'SIGNAL_EXIT'}]"
ITC,0,0.0,0.0,0.0,0.0,0.0,0.0,[]
BAJAJFINSV,0,0.0,0.0,0.0,0.0,0.0,0.0,[]
MARUTI,1,0.0,1.0,0.0,0.0,-1.7250949676332807,-1.7250949676332807,"[{'symbol': 'MARUTI', 'entry_date': Timestamp('2025-06-09 00:00:00+0530', tz='Asia/Kolkata'), 'exit_date': Timestamp('2025-07-18 00:00:00+0530', tz='Asia/Kolkata'), 'entry_price': np.float64(12501.689453125), 'exit_price': np.float64(12286.0234375), 'pnl_percent': np.float64(-1.7250949676332807), 'status': 'LOSS', 'exit_reason': 'SIGNAL_EXIT'}]"
SUNPHARMA,2,0.0,2.0,0.0,0.0,-4.923072921905422,-9.846145843810843,"[{'symbol': 'SUNPHARMA', 'entry_date': Timestamp('2025-07-15 00:00:00+0530', tz='Asia/Kolkata'), 'exit_date': Timestamp('2025-08-01 00:00:00+0530', tz='Asia/Kolkata'), 'entry_price': np.float64(1716.3509521484375), 'exit_price': np.float64(1619.18212890625), 'pnl_percent': np.float64(-5.661360989170467), 'status': 'LOSS', 'exit_reason': 'STOP_LOSS'}, {'symbol': 'SUNPHARMA', 'entry_date': Timestamp('2025-09-19 00:00:00+0530', tz='Asia/Kolkata'), 'exit_date': Timestamp('2025-09-26 00:00:00+0530', tz='Asia/Kolkata'), 'entry_price': np.float64(1645.3123779296875), 'exit_price': np.float64(1576.4595947265625), 'pnl_percent': np.float64(-4.184784854640377), 'status': 'LOSS', 'exit_reason': 'SIGNAL_EXIT'}]"
